Target Distance: 50, Step Size: 2
96: (x,y) = (-11.764, 18.9019)
97: (x,y) = (-13.7273, 18.5202)
98: (x,y) = (-13.2774, 16.5715)
99: (x,y) = (-15.1045, 15.758)
100: (x,y) = (-13.5951, 14.4459)
101: (x,y) = (-14.7134, 16.104)
102: (x,y) = (-16.5678, 16.8532)
103: (x,y) = (-17.0855, 18.785)
104: (x,y) = (-15.1728, 19.3698)
105: (x,y) = (-16.4042, 20.9458)
106: (x,y) = (-16.1951, 22.9349)
107: (x,y) = (-18.1584, 23.3165)
108: (x,y) = (-16.1587, 23.2816)
109: (x,y) = (-14.1891, 22.9343)
110: (x,y) = (-14.3634, 24.9267)
111: (x,y) = (-12.5814, 24.0187)
112: (x,y) = (-11.1186, 22.6547)
113: (x,y) = (-9.35275, 23.5936)
114: (x,y) = (-9.00545, 25.5632)
115: (x,y) = (-9.9444, 23.7973)
116: (x,y) = (-11.6587, 22.7673)
117: (x,y) = (-13.1682, 21.4551)
118: (x,y) = (-11.1928, 21.1423)
119: (x,y) = (-9.33841, 20.3931)
120: (x,y) = (-8.07977, 21.9474)
121: (x,y) = (-9.07977, 20.2153)
122: (x,y) = (-10.418, 18.729)
123: (x,y) = (-9.86675, 16.8065)
124: (x,y) = (-9.58841, 14.826)
125: (x,y) = (-10.764, 16.444)
126: (x,y) = (-10.1128, 14.553)
127: (x,y) = (-10.2872, 16.5453)
128: (x,y) = (-11.9645, 15.4561)
129: (x,y) = (-10.3262, 14.3089)
130: (x,y) = (-10.3262, 12.3089)
131: (x,y) = (-11.6383, 10.7995)
132: (x,y) = (-13.638, 10.8344)
133: (x,y) = (-12.062, 12.0657)
134: (x,y) = (-13.5247, 10.7017)
135: (x,y) = (-13.9063, 12.665)
136: (x,y) = (-12.8465, 14.3611)
137: (x,y) = (-14.6441, 13.4843)
138: (x,y) = (-15.0599, 15.4406)
139: (x,y) = (-13.6212, 16.8299)
140: (x,y) = (-11.7418, 16.1459)
141: (x,y) = (-11.326, 14.1896)
142: (x,y) = (-10.9787, 16.1592)
143: (x,y) = (-9.30135, 17.2485)
144: (x,y) = (-10.9194, 18.4241)
145: (x,y) = (-12.7014, 19.3321)
146: (x,y) = (-14.2335, 18.0465)
147: (x,y) = (-15.8916, 19.1649)
148: (x,y) = (-16.3074, 17.2086)
149: (x,y) = (-18.12, 18.0538)
150: (x,y) = (-16.2406, 17.3698)
151: (x,y) = (-14.6433, 16.1661)
152: (x,y) = (-16.456, 17.0114)
153: (x,y) = (-16.0743, 15.0481)
154: (x,y) = (-14.099, 15.361)
155: (x,y) = (-13.099, 17.093)
156: (x,y) = (-11.735, 18.5557)
157: (x,y) = (-13.1977, 19.9197)
158: (x,y) = (-13.5793, 17.9565)
159: (x,y) = (-14.3285, 19.8109)
160: (x,y) = (-15.9465, 20.9864)
161: (x,y) = (-15.9116, 22.9861)
162: (x,y) = (-14.6803, 24.5621)
163: (x,y) = (-13.0222, 25.6805)
164: (x,y) = (-13.4381, 27.6368)
165: (x,y) = (-14.5565, 29.2949)
166: (x,y) = (-15.4954, 27.529)
167: (x,y) = (-17.1535, 26.4106)
168: (x,y) = (-18.5428, 27.8493)
169: (x,y) = (-18.7171, 25.8569)
170: (x,y) = (-18.6473, 23.8581)
171: (x,y) = (-17.5001, 22.2198)
172: (x,y) = (-16.5612, 20.4539)
173: (x,y) = (-15.2491, 18.9445)
174: (x,y) = (-16.7585, 20.2566)
175: (x,y) = (-18.7218, 19.875)
176: (x,y) = (-20.7068, 20.1187)
177: (x,y) = (-19.8934, 18.2917)
178: (x,y) = (-18.6078, 19.8237)
179: (x,y) = (-18.2605, 21.7934)
180: (x,y) = (-18.8452, 23.706)
181: (x,y) = (-20.8303, 23.9497)
182: (x,y) = (-21.0741, 25.9348)
183: (x,y) = (-21.6254, 27.8573)
184: (x,y) = (-21.73, 25.8601)
185: (x,y) = (-19.8075, 26.4113)
186: (x,y) = (-18.1302, 27.5006)
187: (x,y) = (-19.8622, 26.5006)
188: (x,y) = (-21.8185, 26.0848)
189: (x,y) = (-19.8234, 26.2243)
190: (x,y) = (-21.0547, 27.8003)
191: (x,y) = (-19.106, 28.2502)
192: (x,y) = (-21.0984, 28.0759)
193: (x,y) = (-22.4105, 26.5665)
194: (x,y) = (-24.0878, 25.4772)
195: (x,y) = (-25.7839, 24.4174)
196: (x,y) = (-24.4983, 25.9495)
197: (x,y) = (-24.0825, 23.9932)
198: (x,y) = (-22.1804, 24.6112)
199: (x,y) = (-22.7317, 22.6887)
200: (x,y) = (-21.6424, 24.366)
201: (x,y) = (-20.7344, 26.148)
202: (x,y) = (-18.8934, 26.9295)
203: (x,y) = (-16.9371, 27.3453)
204: (x,y) = (-17.6863, 29.1997)
205: (x,y) = (-15.9543, 30.1997)
206: (x,y) = (-14.6687, 31.7318)
207: (x,y) = (-13.6687, 29.9997)
208: (x,y) = (-11.7893, 30.6838)
209: (x,y) = (-11.615, 28.6914)
210: (x,y) = (-9.97669, 27.5442)
211: (x,y) = (-9.06871, 29.3262)
212: (x,y) = (-8.65289, 31.2825)
213: (x,y) = (-6.79852, 32.0318)
214: (x,y) = (-6.90319, 34.029)
215: (x,y) = (-7.77993, 32.2314)
216: (x,y) = (-8.49667, 30.3643)
217: (x,y) = (-6.55608, 30.8481)
218: (x,y) = (-5.19208, 32.3108)
219: (x,y) = (-7.04645, 31.5616)
220: (x,y) = (-7.04645, 29.5616)
221: (x,y) = (-5.21936, 30.3751)
222: (x,y) = (-4.56822, 32.2661)
223: (x,y) = (-4.98405, 34.2224)
224: (x,y) = (-3.04345, 34.7063)
225: (x,y) = (-2.73059, 36.6816)
226: (x,y) = (-0.903494, 35.8682)
227: (x,y) = (-0.186759, 34.001)
228: (x,y) = (-0.0124471, 35.9934)
229: (x,y) = (-0.76166, 34.139)
230: (x,y) = (-1.31294, 32.2165)
231: (x,y) = (-0.563722, 30.3621)
232: (x,y) = (-0.250853, 32.3375)
233: (x,y) = (1.42649, 31.2482)
234: (x,y) = (3.42162, 31.1087)
235: (x,y) = (1.48102, 31.5926)
236: (x,y) = (1.34151, 29.5974)
237: (x,y) = (2.8278, 30.9357)
238: (x,y) = (0.915192, 30.3509)
239: (x,y) = (-1.03355, 29.901)
240: (x,y) = (0.643793, 30.9903)
241: (x,y) = (-1.31946, 31.3719)
242: (x,y) = (-2.82888, 30.0598)
243: (x,y) = (-3.97603, 31.6981)
244: (x,y) = (-4.15034, 33.6905)
245: (x,y) = (-3.18073, 35.4398)
246: (x,y) = (-5.02174, 34.6583)
247: (x,y) = (-3.99166, 36.3726)
248: (x,y) = (-2.13729, 37.1218)
249: (x,y) = (-3.6, 38.4858)
250: (x,y) = (-4.01582, 40.4421)
251: (x,y) = (-4.25956, 38.457)
252: (x,y) = (-2.30327, 38.8729)
253: (x,y) = (-4.13036, 38.0594)
254: (x,y) = (-5.36168, 39.6354)
255: (x,y) = (-7.15927, 38.7587)
256: (x,y) = (-9.01364, 39.5079)
257: (x,y) = (-9.85887, 37.6953)
258: (x,y) = (-7.89562, 37.3136)
259: (x,y) = (-7.86071, 35.314)
260: (x,y) = (-9.70172, 34.5325)
261: (x,y) = (-8.00563, 33.4727)
262: (x,y) = (-6.64163, 34.9354)
263: (x,y) = (-4.87573, 35.8743)
264: (x,y) = (-6.55308, 36.9636)
265: (x,y) = (-4.59678, 36.5478)
266: (x,y) = (-6.03546, 37.9371)
267: (x,y) = (-4.06008, 38.2499)
268: (x,y) = (-4.40738, 40.2196)
269: (x,y) = (-5.377, 38.4703)
270: (x,y) = (-3.4207, 38.8861)
271: (x,y) = (-5.35256, 38.3685)
272: (x,y) = (-3.43995, 37.7838)
273: (x,y) = (-3.1616, 35.8032)
274: (x,y) = (-4.03834, 37.6008)
275: (x,y) = (-5.12762, 39.2782)
276: (x,y) = (-6.82372, 40.338)
277: (x,y) = (-8.63633, 41.1832)
278: (x,y) = (-10.5489, 41.768)
279: (x,y) = (-12.5489, 41.768)
280: (x,y) = (-11.4891, 43.4641)
281: (x,y) = (-10.2035, 41.932)
282: (x,y) = (-10.8216, 40.0299)
283: (x,y) = (-9.14422, 38.9406)
284: (x,y) = (-7.15183, 38.7663)
285: (x,y) = (-8.86617, 37.7362)
286: (x,y) = (-10.7333, 38.4529)
287: (x,y) = (-11.0462, 36.4776)
288: (x,y) = (-12.0158, 34.7283)
289: (x,y) = (-12.0856, 32.7295)
290: (x,y) = (-12.9308, 34.5422)
291: (x,y) = (-14.2691, 33.0559)
292: (x,y) = (-15.5278, 34.6102)
293: (x,y) = (-13.6367, 35.2613)
294: (x,y) = (-11.7142, 35.8126)
295: (x,y) = (-9.82315, 35.1614)
296: (x,y) = (-8.12706, 34.1016)
297: (x,y) = (-10.0967, 33.7543)
298: (x,y) = (-8.10428, 33.58)
299: (x,y) = (-7.45315, 31.6889)
300: (x,y) = (-9.36576, 31.1042)
301: (x,y) = (-9.54007, 29.1118)
302: (x,y) = (-11.4964, 28.696)
303: (x,y) = (-13.294, 29.5727)
304: (x,y) = (-14.6579, 31.0354)
305: (x,y) = (-16.6576, 31.0703)
306: (x,y) = (-14.8756, 30.1624)
307: (x,y) = (-16.6415, 29.2234)
308: (x,y) = (-18.0557, 27.8092)
309: (x,y) = (-16.5237, 29.0948)
310: (x,y) = (-18.516, 29.2691)
311: (x,y) = (-19.1672, 31.1601)
312: (x,y) = (-17.1821, 31.4039)
313: (x,y) = (-19.1139, 31.9215)
314: (x,y) = (-17.2013, 32.5063)
315: (x,y) = (-18.4869, 30.9742)
316: (x,y) = (-20.3663, 31.6582)
317: (x,y) = (-21.4847, 33.3163)
318: (x,y) = (-19.8073, 34.4056)
319: (x,y) = (-21.7964, 34.1965)
320: (x,y) = (-20.7663, 35.9108)
321: (x,y) = (-22.7651, 35.841)
322: (x,y) = (-23.4162, 33.95)
323: (x,y) = (-24.9025, 35.2883)
324: (x,y) = (-25.1462, 33.3032)
325: (x,y) = (-25.9597, 35.1303)
326: (x,y) = (-27.4691, 33.8181)
327: (x,y) = (-27.0192, 35.7669)
328: (x,y) = (-25.3231, 34.707)
329: (x,y) = (-24.4464, 36.5046)
330: (x,y) = (-26.3689, 35.9534)
331: (x,y) = (-25.0568, 34.4439)
332: (x,y) = (-26.0869, 36.1583)
333: (x,y) = (-28.0094, 35.607)
334: (x,y) = (-26.6973, 34.0976)
335: (x,y) = (-26.941, 32.1125)
336: (x,y) = (-27.4249, 30.1719)
337: (x,y) = (-28.8142, 28.7332)
338: (x,y) = (-27.6386, 27.1152)
339: (x,y) = (-28.9507, 28.6246)
340: (x,y) = (-27.2187, 29.6246)
341: (x,y) = (-26.0715, 31.2629)
342: (x,y) = (-26.7883, 33.1301)
343: (x,y) = (-26.7534, 31.1304)
344: (x,y) = (-24.7901, 31.512)
345: (x,y) = (-23.0581, 32.512)
346: (x,y) = (-22.6764, 34.4752)
347: (x,y) = (-21.5872, 32.7979)
348: (x,y) = (-21.7615, 34.7903)
349: (x,y) = (-20.3722, 36.229)
350: (x,y) = (-18.5178, 35.4798)
351: (x,y) = (-16.6384, 34.7957)
352: (x,y) = (-18.2965, 33.6773)
353: (x,y) = (-16.7422, 34.936)
354: (x,y) = (-16.1241, 33.0339)
355: (x,y) = (-18.1214, 32.9292)
356: (x,y) = (-17.2134, 31.1472)
357: (x,y) = (-15.4991, 30.1171)
358: (x,y) = (-13.767, 29.1171)
359: (x,y) = (-11.778, 28.908)
360: (x,y) = (-10.6887, 27.2307)
361: (x,y) = (-11.778, 25.5534)
362: (x,y) = (-11.8478, 23.5546)
363: (x,y) = (-12.6613, 25.3817)
364: (x,y) = (-13.2125, 23.4591)
365: (x,y) = (-11.272, 22.9753)
366: (x,y) = (-12.0854, 21.1482)
367: (x,y) = (-10.11, 20.8353)
368: (x,y) = (-8.53403, 22.0667)
369: (x,y) = (-7.91599, 23.9688)
370: (x,y) = (-8.39984, 22.0282)
371: (x,y) = (-7.65062, 23.8825)
372: (x,y) = (-7.09935, 25.8051)
373: (x,y) = (-8.88136, 26.7131)
374: (x,y) = (-6.96875, 27.2978)
375: (x,y) = (-8.89128, 26.7465)
376: (x,y) = (-9.79926, 28.5285)
377: (x,y) = (-7.88665, 29.1133)
378: (x,y) = (-6.91703, 30.8625)
379: (x,y) = (-5.50282, 32.2767)
380: (x,y) = (-6.34805, 30.4641)
381: (x,y) = (-5.76331, 28.5515)
382: (x,y) = (-3.99741, 27.6126)
383: (x,y) = (-1.99772, 27.6475)
384: (x,y) = (-0.0489778, 28.0974)
385: (x,y) = (1.06941, 29.7554)
386: (x,y) = (2.21656, 31.3938)
387: (x,y) = (0.8783, 29.9075)
388: (x,y) = (-0.433818, 31.4169)
389: (x,y) = (-1.46389, 33.1312)
390: (x,y) = (-1.25484, 31.1422)
391: (x,y) = (-3.24723, 31.3165)
392: (x,y) = (-1.40622, 32.0979)
393: (x,y) = (-1.23191, 30.1056)
394: (x,y) = (-2.04538, 28.2785)
395: (x,y) = (-0.0456837, 28.3134)
396: (x,y) = (-1.92507, 27.6293)
397: (x,y) = (-0.0579081, 26.9126)
398: (x,y) = (-0.871381, 25.0855)
399: (x,y) = (-0.976053, 27.0828)
400: (x,y) = (-0.663184, 29.0581)
401: (x,y) = (-1.11309, 27.1094)
402: (x,y) = (-2.02107, 25.3274)
403: (x,y) = (-1.95127, 23.3286)
404: (x,y) = (-3.5693, 22.153)
405: (x,y) = (-5.43646, 22.8698)
406: (x,y) = (-3.52385, 22.285)
407: (x,y) = (-1.7918, 23.285)
408: (x,y) = (-0.259714, 21.9994)
409: (x,y) = (-1.28979, 23.7138)
410: (x,y) = (-0.908172, 25.677)
411: (x,y) = (-0.664434, 27.6621)
412: (x,y) = (-0.490122, 25.6697)
413: (x,y) = (0.569716, 27.3658)
414: (x,y) = (-1.04832, 28.5414)
415: (x,y) = (-3.04345, 28.6809)
416: (x,y) = (-5.02398, 28.4026)
417: (x,y) = (-6.89114, 29.1193)
418: (x,y) = (-6.85624, 27.1196)
419: (x,y) = (-8.41053, 25.861)
420: (x,y) = (-7.09841, 24.3516)
421: (x,y) = (-5.36636, 25.3516)
422: (x,y) = (-5.57542, 27.3406)
423: (x,y) = (-7.21372, 28.4878)
424: (x,y) = (-6.59569, 26.5856)
425: (x,y) = (-8.03437, 25.1963)
426: (x,y) = (-9.96622, 24.6787)
427: (x,y) = (-10.9052, 26.4446)
428: (x,y) = (-9.37307, 27.7302)
429: (x,y) = (-7.37338, 27.6952)
430: (x,y) = (-8.37338, 29.4273)
431: (x,y) = (-9.92767, 30.6859)
432: (x,y) = (-8.11505, 29.8407)
433: (x,y) = (-7.11505, 28.1087)
434: (x,y) = (-7.9918, 26.3111)
435: (x,y) = (-7.08382, 24.5291)
436: (x,y) = (-7.9918, 26.3111)
437: (x,y) = (-6.25975, 25.3111)
438: (x,y) = (-8.07236, 24.4658)
439: (x,y) = (-6.47509, 25.6695)
440: (x,y) = (-5.66162, 23.8424)
441: (x,y) = (-6.34566, 25.7218)
442: (x,y) = (-5.96404, 23.7585)
443: (x,y) = (-7.02388, 25.4546)
444: (x,y) = (-8.95573, 25.9722)
445: (x,y) = (-10.6331, 24.883)
446: (x,y) = (-9.94903, 23.0036)
447: (x,y) = (-7.96394, 22.7598)
448: (x,y) = (-9.89579, 22.2422)
449: (x,y) = (-8.45711, 23.6315)
450: (x,y) = (-7.36783, 21.9542)
451: (x,y) = (-9.29036, 22.5054)
452: (x,y) = (-10.3796, 20.8281)
453: (x,y) = (-8.37963, 20.8281)
454: (x,y) = (-6.4886, 20.177)
455: (x,y) = (-4.53986, 20.6269)
456: (x,y) = (-5.59969, 18.9308)
457: (x,y) = (-6.59969, 20.6628)
458: (x,y) = (-4.6434, 20.247)
459: (x,y) = (-5.92897, 18.7149)
460: (x,y) = (-5.05223, 20.5125)
461: (x,y) = (-3.63802, 21.9267)
462: (x,y) = (-3.18812, 23.8755)
463: (x,y) = (-1.4061, 24.7834)
464: (x,y) = (-2.58167, 26.4015)
465: (x,y) = (-1.11897, 27.7655)
466: (x,y) = (-1.46626, 25.7958)
467: (x,y) = (0.496991, 26.1775)
468: (x,y) = (-0.650162, 24.5392)
469: (x,y) = (-1.61978, 26.2884)
470: (x,y) = (0.129458, 27.258)
471: (x,y) = (-0.95982, 28.9354)
472: (x,y) = (0.698255, 30.0537)
473: (x,y) = (-1.06764, 30.9927)
474: (x,y) = (-2.99016, 31.544)
475: (x,y) = (-4.27574, 33.0761)
476: (x,y) = (-3.0171, 34.6303)
477: (x,y) = (-4.16425, 36.2687)
478: (x,y) = (-4.47712, 34.2933)
479: (x,y) = (-3.03844, 32.904)
480: (x,y) = (-4.52473, 31.5657)
481: (x,y) = (-6.122, 30.3621)
482: (x,y) = (-7.96301, 29.5806)
483: (x,y) = (-5.96423, 29.5108)
484: (x,y) = (-4.10986, 30.26)
485: (x,y) = (-2.79774, 28.7506)
486: (x,y) = (-4.00137, 30.3479)
487: (x,y) = (-3.93157, 32.3467)
488: (x,y) = (-2.07721, 33.0959)
489: (x,y) = (-0.113952, 33.4775)
490: (x,y) = (-0.392298, 35.458)
491: (x,y) = (-2.28334, 34.8069)
492: (x,y) = (-2.90137, 36.709)
493: (x,y) = (-1.96243, 38.4749)
494: (x,y) = (-3.94296, 38.1965)
495: (x,y) = (-5.25508, 39.706)
496: (x,y) = (-6.91316, 40.8243)
497: (x,y) = (-8.60925, 41.8842)
498: (x,y) = (-9.63933, 43.5985)
499: (x,y) = (-7.81224, 42.785)
500: (x,y) = (-9.78761, 42.4722)
501: (x,y) = (-8.91087, 44.2698)
502: (x,y) = (-10.8741, 44.6514)
503: (x,y) = (-12.7762, 44.0334)
504: (x,y) = (-10.8636, 43.4486)
505: (x,y) = (-12.4817, 44.6242)
506: (x,y) = (-13.871, 43.1855)
507: (x,y) = (-15.3337, 41.8215)
508: (x,y) = (-17.3288, 41.961)
509: (x,y) = (-16.7108, 40.0589)
510: (x,y) = (-15.9293, 38.2179)
511: (x,y) = (-17.7837, 38.9671)
512: (x,y) = (-19.7825, 38.8973)
513: (x,y) = (-19.0984, 37.0179)
514: (x,y) = (-19.7496, 38.909)
515: (x,y) = (-21.6167, 39.6257)
516: (x,y) = (-20.3046, 38.1163)
517: (x,y) = (-18.3821, 38.6676)
518: (x,y) = (-16.8061, 37.4362)
519: (x,y) = (-14.8073, 37.506)
520: (x,y) = (-13.169, 38.6532)
521: (x,y) = (-11.1766, 38.8275)
522: (x,y) = (-9.44454, 37.8275)
523: (x,y) = (-11.2716, 37.014)
524: (x,y) = (-9.36951, 37.6321)
525: (x,y) = (-9.23, 39.6272)
526: (x,y) = (-7.23122, 39.5574)
527: (x,y) = (-5.39021, 38.7759)
528: (x,y) = (-7.25737, 39.4927)
529: (x,y) = (-7.1527, 41.4899)
530: (x,y) = (-5.27331, 42.174)
531: (x,y) = (-4.36533, 40.3919)
532: (x,y) = (-2.44281, 40.9432)
533: (x,y) = (-2.44281, 38.9432)
534: (x,y) = (-1.66135, 40.7842)
535: (x,y) = (-3.41059, 39.8146)
536: (x,y) = (-3.5849, 37.8222)
537: (x,y) = (-4.81622, 39.3982)
538: (x,y) = (-3.55758, 37.8439)
539: (x,y) = (-4.64686, 39.5213)
540: (x,y) = (-4.61195, 37.5216)
541: (x,y) = (-6.60921, 37.4169)
542: (x,y) = (-8.07192, 38.7809)
543: (x,y) = (-9.46124, 40.2196)
544: (x,y) = (-11.4175, 39.8038)
545: (x,y) = (-13.1995, 38.8958)
546: (x,y) = (-15.1692, 38.5485)
547: (x,y) = (-15.8203, 36.6575)
548: (x,y) = (-17.5695, 37.6271)
549: (x,y) = (-17.9854, 39.5834)
550: (x,y) = (-18.6694, 41.4628)
551: (x,y) = (-20.6181, 41.9127)
552: (x,y) = (-19.7414, 43.7102)
553: (x,y) = (-19.8112, 45.709)
554: (x,y) = (-18.5256, 44.1769)
555: (x,y) = (-20.4662, 44.6608)
556: (x,y) = (-22.4358, 45.0081)
After 557 steps, the subject has the following location:
(x,y) = (-22.4358, 45.0081)
 or
(m,a) = (50.2901, 116.496)
Average outward distance per step = 0.0902874
