Target Distance: 50, Step Size: 2
109: (x,y) = (13.2643, -22.6572)
110: (x,y) = (11.2692, -22.5177)
111: (x,y) = (13.2583, -22.3087)
112: (x,y) = (12.9454, -24.284)
113: (x,y) = (11.8561, -25.9614)
114: (x,y) = (9.89286, -26.343)
115: (x,y) = (11.8901, -26.4477)
116: (x,y) = (10.4038, -25.1094)
117: (x,y) = (10.4736, -23.1106)
118: (x,y) = (9.92236, -25.0332)
119: (x,y) = (9.88745, -23.0335)
120: (x,y) = (11.7001, -22.1882)
121: (x,y) = (13.5127, -21.343)
122: (x,y) = (11.6001, -21.9277)
123: (x,y) = (10.6001, -20.1957)
124: (x,y) = (12.6001, -20.1957)
125: (x,y) = (10.615, -19.9519)
126: (x,y) = (11.4602, -18.1393)
127: (x,y) = (9.46052, -18.1044)
128: (x,y) = (9.32101, -20.0995)
129: (x,y) = (7.32223, -20.1693)
130: (x,y) = (5.70419, -18.9938)
131: (x,y) = (4.85896, -17.1812)
132: (x,y) = (5.57569, -15.314)
133: (x,y) = (6.86127, -13.7819)
134: (x,y) = (7.27709, -11.8256)
135: (x,y) = (5.45, -12.6391)
136: (x,y) = (7.43904, -12.8481)
137: (x,y) = (7.75191, -10.8728)
138: (x,y) = (6.81297, -12.6387)
139: (x,y) = (8.49031, -13.7279)
140: (x,y) = (10.4657, -14.0408)
141: (x,y) = (9.52675, -12.2749)
142: (x,y) = (11.1028, -13.5062)
143: (x,y) = (12.8848, -12.5983)
144: (x,y) = (11.5465, -11.112)
145: (x,y) = (12.5465, -9.37992)
146: (x,y) = (12.2682, -7.39938)
147: (x,y) = (13.6824, -8.81359)
148: (x,y) = (14.941, -10.3679)
149: (x,y) = (13.05, -9.71675)
150: (x,y) = (13.7011, -11.6078)
151: (x,y) = (15.2554, -12.8664)
152: (x,y) = (16.6696, -14.2806)
153: (x,y) = (15.2554, -12.8664)
154: (x,y) = (13.5234, -11.8664)
155: (x,y) = (12.8066, -9.99927)
156: (x,y) = (14.2929, -11.3375)
157: (x,y) = (12.3803, -10.7528)
158: (x,y) = (13.0644, -8.8734)
159: (x,y) = (13.582, -10.8052)
160: (x,y) = (15.423, -10.0238)
161: (x,y) = (17.0203, -8.82016)
162: (x,y) = (18.2789, -7.26587)
163: (x,y) = (17.4337, -5.45325)
164: (x,y) = (16.5257, -3.67124)
165: (x,y) = (14.9077, -4.84681)
166: (x,y) = (14.5604, -6.81642)
167: (x,y) = (13.5604, -8.54847)
168: (x,y) = (11.5753, -8.30473)
169: (x,y) = (12.6645, -6.62739)
170: (x,y) = (11.6345, -4.91306)
171: (x,y) = (9.64208, -4.73875)
172: (x,y) = (8.25277, -3.30007)
173: (x,y) = (9.22239, -1.55083)
174: (x,y) = (10.6366, -0.136615)
175: (x,y) = (8.67335, 0.245003)
176: (x,y) = (8.15571, 2.17685)
177: (x,y) = (9.5197, 0.714147)
178: (x,y) = (7.62867, 1.36528)
179: (x,y) = (9.06735, -0.0240331)
180: (x,y) = (11.0236, 0.39179)
181: (x,y) = (10.8841, -1.60334)
182: (x,y) = (8.90875, -1.29047)
183: (x,y) = (10.7214, -0.445232)
184: (x,y) = (12.2974, -1.67656)
185: (x,y) = (11.4839, -3.50365)
186: (x,y) = (13.479, -3.64316)
187: (x,y) = (15.4763, -3.74783)
188: (x,y) = (15.4065, -1.74905)
189: (x,y) = (16.4366, -3.46338)
190: (x,y) = (14.8606, -4.69471)
191: (x,y) = (14.9652, -6.69197)
192: (x,y) = (13.4331, -7.97754)
193: (x,y) = (15.4137, -8.25589)
194: (x,y) = (13.4331, -8.53423)
195: (x,y) = (11.9011, -7.24866)
196: (x,y) = (10.0217, -7.9327)
197: (x,y) = (12.0022, -8.21104)
198: (x,y) = (10.1896, -7.36581)
199: (x,y) = (11.2494, -5.66971)
200: (x,y) = (13.0765, -6.48319)
201: (x,y) = (14.2801, -8.08046)
202: (x,y) = (15.0936, -6.25337)
203: (x,y) = (13.1373, -6.66919)
204: (x,y) = (11.9337, -8.26646)
205: (x,y) = (11.7246, -10.2555)
206: (x,y) = (10.3104, -8.84129)
207: (x,y) = (11.7491, -7.45197)
208: (x,y) = (13.7245, -7.1391)
209: (x,y) = (15.5221, -6.26236)
210: (x,y) = (14.2365, -4.73027)
211: (x,y) = (12.3046, -4.21264)
212: (x,y) = (11.6866, -6.11475)
213: (x,y) = (11.3393, -8.08436)
214: (x,y) = (11.4091, -6.08558)
215: (x,y) = (11.2348, -4.09319)
216: (x,y) = (13.2336, -4.16299)
217: (x,y) = (13.4426, -2.17395)
218: (x,y) = (14.4727, -3.88828)
219: (x,y) = (13.01, -2.52429)
220: (x,y) = (14.6873, -1.43501)
221: (x,y) = (12.7241, -1.05339)
222: (x,y) = (13.2754, -2.97591)
223: (x,y) = (15.1775, -2.35788)
224: (x,y) = (14.0882, -4.03522)
225: (x,y) = (15.8541, -4.97416)
226: (x,y) = (17.1127, -6.52846)
227: (x,y) = (17.8942, -8.36947)
228: (x,y) = (16.0671, -9.18294)
229: (x,y) = (18.0644, -9.07827)
230: (x,y) = (19.323, -10.6326)
231: (x,y) = (17.4436, -11.3166)
232: (x,y) = (15.7856, -10.1982)
233: (x,y) = (17.7552, -10.5455)
234: (x,y) = (18.8444, -8.86817)
235: (x,y) = (18.4286, -6.91187)
236: (x,y) = (16.459, -7.25917)
237: (x,y) = (16.7719, -9.23455)
238: (x,y) = (18.6262, -8.48533)
239: (x,y) = (16.9301, -9.54517)
240: (x,y) = (15.5661, -11.0079)
241: (x,y) = (17.0289, -12.3719)
242: (x,y) = (15.1063, -11.8206)
243: (x,y) = (14.0465, -13.5167)
244: (x,y) = (13.233, -15.3438)
245: (x,y) = (15.1241, -15.9949)
246: (x,y) = (13.2447, -16.679)
247: (x,y) = (11.6687, -15.4476)
248: (x,y) = (13.346, -14.3584)
249: (x,y) = (14.4931, -12.7201)
250: (x,y) = (12.8548, -13.8672)
251: (x,y) = (12.542, -11.8918)
252: (x,y) = (10.7761, -12.8308)
253: (x,y) = (11.8062, -14.5451)
254: (x,y) = (12.6196, -16.3722)
255: (x,y) = (14.6087, -16.5813)
256: (x,y) = (16.584, -16.2684)
257: (x,y) = (17.4608, -14.4708)
258: (x,y) = (16.9432, -16.4027)
259: (x,y) = (16.5959, -18.3723)
260: (x,y) = (14.9576, -17.2251)
261: (x,y) = (13.5682, -15.7864)
262: (x,y) = (11.5831, -16.0302)
263: (x,y) = (13.5819, -15.9604)
264: (x,y) = (12.1926, -14.5217)
265: (x,y) = (10.934, -12.9674)
266: (x,y) = (12.7611, -13.7809)
267: (x,y) = (12.2098, -11.8584)
268: (x,y) = (13.0233, -10.0313)
269: (x,y) = (11.1439, -10.7153)
270: (x,y) = (11.9573, -8.88822)
271: (x,y) = (13.8117, -9.63743)
272: (x,y) = (15.2504, -8.24811)
273: (x,y) = (17.048, -9.12485)
274: (x,y) = (17.956, -7.34284)
275: (x,y) = (16.6704, -5.81075)
276: (x,y) = (15.4668, -7.40802)
277: (x,y) = (13.5105, -7.82385)
278: (x,y) = (13.6848, -9.81624)
279: (x,y) = (11.7722, -9.23149)
280: (x,y) = (10.7421, -7.51716)
281: (x,y) = (9.59493, -9.15546)
282: (x,y) = (8.84572, -7.30109)
283: (x,y) = (9.29562, -9.24983)
284: (x,y) = (8.77798, -7.31798)
285: (x,y) = (7.63083, -5.67968)
286: (x,y) = (9.41284, -4.7717)
287: (x,y) = (10.5021, -6.44904)
288: (x,y) = (8.90485, -7.65267)
289: (x,y) = (6.99224, -8.23741)
290: (x,y) = (8.9555, -7.85579)
291: (x,y) = (8.43786, -9.78765)
292: (x,y) = (7.95401, -11.7282)
293: (x,y) = (8.16307, -9.73919)
294: (x,y) = (8.68071, -11.671)
295: (x,y) = (7.42207, -13.2253)
296: (x,y) = (5.44669, -13.5382)
297: (x,y) = (6.59384, -15.1765)
298: (x,y) = (8.5257, -14.6589)
299: (x,y) = (9.46464, -16.4248)
300: (x,y) = (7.48926, -16.1119)
301: (x,y) = (7.48926, -18.1119)
302: (x,y) = (9.46464, -18.4248)
303: (x,y) = (11.3056, -19.2062)
304: (x,y) = (13.2619, -19.6221)
305: (x,y) = (15.0595, -18.7453)
306: (x,y) = (16.9821, -18.194)
307: (x,y) = (15.3438, -19.3412)
308: (x,y) = (16.5751, -20.9172)
309: (x,y) = (14.9991, -22.1485)
310: (x,y) = (13.1447, -21.3993)
311: (x,y) = (11.1751, -21.7466)
312: (x,y) = (13.0294, -22.4958)
313: (x,y) = (11.0297, -22.4609)
314: (x,y) = (11.8112, -20.6199)
315: (x,y) = (9.87061, -21.1038)
316: (x,y) = (9.31934, -23.0263)
317: (x,y) = (8.0607, -21.472)
318: (x,y) = (8.71183, -19.581)
319: (x,y) = (10.0758, -18.1182)
320: (x,y) = (8.30993, -19.0572)
321: (x,y) = (7.27986, -17.3429)
322: (x,y) = (6.4984, -19.1839)
323: (x,y) = (4.54966, -19.6338)
324: (x,y) = (3.46038, -17.9564)
325: (x,y) = (5.45277, -17.7821)
326: (x,y) = (4.63929, -15.955)
327: (x,y) = (3.66967, -17.7043)
328: (x,y) = (2.5804, -19.3816)
329: (x,y) = (1.55032, -21.0959)
330: (x,y) = (3.16835, -19.9204)
331: (x,y) = (3.30787, -17.9252)
332: (x,y) = (4.12134, -16.0981)
333: (x,y) = (3.0615, -17.7942)
334: (x,y) = (1.18212, -18.4783)
335: (x,y) = (1.46046, -16.4977)
336: (x,y) = (-0.305432, -17.4367)
337: (x,y) = (-1.74411, -16.0474)
338: (x,y) = (-3.73316, -16.2564)
339: (x,y) = (-2.03706, -17.3163)
340: (x,y) = (-2.00215, -15.3166)
341: (x,y) = (-3.00215, -17.0486)
342: (x,y) = (-4.79974, -16.1719)
343: (x,y) = (-2.87722, -15.6206)
344: (x,y) = (-1.3678, -14.3085)
345: (x,y) = (-0.109159, -15.8628)
346: (x,y) = (0.980119, -17.5401)
347: (x,y) = (2.0102, -15.8258)
348: (x,y) = (3.68754, -14.7365)
349: (x,y) = (2.04923, -13.5894)
350: (x,y) = (3.6465, -14.793)
351: (x,y) = (3.02847, -12.8909)
352: (x,y) = (1.74289, -11.3588)
353: (x,y) = (3.47494, -10.3588)
354: (x,y) = (2.5982, -12.1564)
355: (x,y) = (0.666351, -11.6387)
356: (x,y) = (0.840662, -9.64635)
357: (x,y) = (-0.248616, -11.3237)
358: (x,y) = (-0.143944, -13.3209)
359: (x,y) = (0.507193, -15.212)
360: (x,y) = (2.28921, -14.304)
361: (x,y) = (4.14357, -13.5548)
362: (x,y) = (2.5463, -12.3512)
363: (x,y) = (0.868961, -13.4404)
364: (x,y) = (2.30764, -14.8298)
365: (x,y) = (2.41231, -12.8325)
366: (x,y) = (2.51698, -14.8298)
367: (x,y) = (0.536448, -15.1081)
368: (x,y) = (-1.3954, -14.5905)
369: (x,y) = (-0.711363, -16.4698)
370: (x,y) = (-2.3294, -17.6454)
371: (x,y) = (-0.406874, -18.1967)
372: (x,y) = (1.1904, -16.9931)
373: (x,y) = (1.05088, -14.9979)
374: (x,y) = (1.4325, -16.9612)
375: (x,y) = (0.20118, -15.3852)
376: (x,y) = (-1.49492, -16.445)
377: (x,y) = (-0.713454, -18.286)
378: (x,y) = (0.490176, -16.6887)
379: (x,y) = (-0.5399, -18.4031)
380: (x,y) = (-2.3058, -19.342)
381: (x,y) = (-2.3058, -21.342)
382: (x,y) = (-2.68741, -19.3788)
383: (x,y) = (-1.24873, -17.9895)
384: (x,y) = (0.517161, -18.9284)
385: (x,y) = (-0.897052, -20.3426)
386: (x,y) = (-2.42914, -19.057)
387: (x,y) = (-4.37788, -19.5069)
388: (x,y) = (-5.7672, -18.0683)
389: (x,y) = (-6.48393, -16.2011)
390: (x,y) = (-5.2803, -17.7984)
391: (x,y) = (-3.33156, -18.2483)
392: (x,y) = (-4.66983, -19.7346)
393: (x,y) = (-2.85721, -20.5798)
394: (x,y) = (-3.30711, -18.6311)
395: (x,y) = (-4.64537, -17.1448)
396: (x,y) = (-6.22139, -15.9134)
397: (x,y) = (-4.4555, -16.8524)
398: (x,y) = (-6.35761, -17.4704)
399: (x,y) = (-5.15398, -15.8731)
400: (x,y) = (-6.81206, -16.9915)
401: (x,y) = (-5.08001, -17.9915)
402: (x,y) = (-3.21285, -17.2748)
403: (x,y) = (-3.62867, -19.2311)
404: (x,y) = (-4.8323, -17.6338)
405: (x,y) = (-6.62989, -16.7571)
406: (x,y) = (-8.11618, -18.0953)
407: (x,y) = (-7.05634, -19.7914)
408: (x,y) = (-5.9965, -21.4875)
409: (x,y) = (-5.44523, -19.565)
410: (x,y) = (-6.78349, -21.0513)
411: (x,y) = (-8.6245, -20.2698)
412: (x,y) = (-6.64396, -19.9915)
413: (x,y) = (-6.57416, -17.9927)
414: (x,y) = (-4.85983, -16.9626)
415: (x,y) = (-6.75086, -16.3115)
416: (x,y) = (-7.53233, -18.1525)
417: (x,y) = (-5.60047, -18.6701)
418: (x,y) = (-4.48209, -20.3282)
419: (x,y) = (-3.01938, -21.6922)
420: (x,y) = (-2.17414, -23.5048)
421: (x,y) = (-0.261535, -22.9201)
422: (x,y) = (-1.20048, -21.1542)
423: (x,y) = (-1.94969, -23.0086)
424: (x,y) = (-3.00953, -21.3125)
425: (x,y) = (-3.04443, -23.3122)
426: (x,y) = (-1.1534, -23.9633)
427: (x,y) = (-0.436661, -25.8305)
428: (x,y) = (-2.41204, -26.1433)
429: (x,y) = (-3.47188, -24.4472)
430: (x,y) = (-5.46914, -24.5519)
431: (x,y) = (-6.90782, -25.9412)
432: (x,y) = (-5.96887, -27.7071)
433: (x,y) = (-7.38309, -29.1213)
434: (x,y) = (-5.60107, -28.2133)
435: (x,y) = (-5.60107, -30.2133)
436: (x,y) = (-3.61598, -30.4571)
437: (x,y) = (-4.61598, -28.725)
438: (x,y) = (-2.90165, -29.7551)
439: (x,y) = (-4.65089, -30.7247)
440: (x,y) = (-6.54192, -31.3759)
441: (x,y) = (-5.10324, -32.7652)
442: (x,y) = (-3.71393, -34.2039)
443: (x,y) = (-3.50487, -36.1929)
444: (x,y) = (-4.1229, -38.095)
445: (x,y) = (-2.12321, -38.1299)
446: (x,y) = (-1.15359, -39.8792)
447: (x,y) = (0.748525, -40.4972)
448: (x,y) = (2.74822, -40.4623)
449: (x,y) = (3.6562, -42.2443)
450: (x,y) = (1.81519, -41.4628)
451: (x,y) = (-0.0258184, -42.2443)
452: (x,y) = (1.63226, -43.3627)
453: (x,y) = (-0.290267, -43.914)
454: (x,y) = (-2.15743, -44.6307)
455: (x,y) = (-0.560156, -45.8343)
456: (x,y) = (1.43863, -45.7645)
457: (x,y) = (3.07693, -44.6174)
458: (x,y) = (1.71293, -46.0801)
459: (x,y) = (3.3102, -44.8765)
460: (x,y) = (1.80078, -43.5643)
461: (x,y) = (-0.188259, -43.7734)
462: (x,y) = (1.79683, -43.5297)
463: (x,y) = (3.3941, -44.7333)
464: (x,y) = (5.3504, -45.1491)
465: (x,y) = (4.56894, -43.3081)
466: (x,y) = (2.93063, -42.1609)
467: (x,y) = (0.938243, -42.3353)
468: (x,y) = (0.590947, -40.3656)
469: (x,y) = (2.10037, -41.6778)
470: (x,y) = (3.58666, -43.016)
471: (x,y) = (5.20469, -41.8405)
472: (x,y) = (4.68705, -39.9086)
473: (x,y) = (3.04875, -38.7614)
474: (x,y) = (3.73279, -36.8821)
475: (x,y) = (2.29411, -35.4927)
476: (x,y) = (3.75682, -34.1288)
477: (x,y) = (1.88965, -33.412)
478: (x,y) = (0.062564, -32.5985)
479: (x,y) = (-1.77845, -31.8171)
480: (x,y) = (0.0486452, -32.6306)
481: (x,y) = (1.13792, -30.9532)
482: (x,y) = (2.39656, -32.5075)
483: (x,y) = (4.03487, -31.3604)
484: (x,y) = (2.06525, -31.7076)
485: (x,y) = (0.407178, -30.5893)
486: (x,y) = (0.788795, -32.5525)
487: (x,y) = (2.22748, -31.1632)
488: (x,y) = (2.26238, -29.1635)
489: (x,y) = (0.265121, -29.0588)
490: (x,y) = (1.77454, -30.3709)
491: (x,y) = (0.410543, -28.9082)
492: (x,y) = (-0.649295, -27.2121)
493: (x,y) = (0.320324, -28.9614)
494: (x,y) = (2.31271, -29.1357)
495: (x,y) = (1.0006, -27.6263)
496: (x,y) = (1.87734, -29.4239)
497: (x,y) = (1.73782, -31.419)
498: (x,y) = (2.45456, -29.5518)
499: (x,y) = (4.39515, -29.068)
500: (x,y) = (6.39393, -28.9982)
501: (x,y) = (8.30654, -28.4134)
502: (x,y) = (8.82418, -26.4816)
503: (x,y) = (6.85457, -26.1343)
504: (x,y) = (5.04195, -26.9795)
505: (x,y) = (3.57924, -28.3435)
506: (x,y) = (2.73401, -30.1561)
507: (x,y) = (0.738878, -30.2957)
508: (x,y) = (2.73766, -30.3655)
509: (x,y) = (1.37366, -28.9028)
510: (x,y) = (0.62445, -30.7571)
511: (x,y) = (0.0731752, -28.8346)
512: (x,y) = (2.0683, -28.9741)
513: (x,y) = (0.0929266, -29.287)
514: (x,y) = (2.08197, -29.496)
515: (x,y) = (1.63207, -27.5473)
516: (x,y) = (3.32816, -26.4875)
517: (x,y) = (2.77689, -24.5649)
518: (x,y) = (4.16621, -23.1263)
519: (x,y) = (5.8623, -24.1861)
520: (x,y) = (7.85956, -24.2908)
521: (x,y) = (6.18222, -23.2015)
522: (x,y) = (7.24206, -24.8976)
523: (x,y) = (6.33408, -26.6796)
524: (x,y) = (6.64695, -24.7042)
525: (x,y) = (5.96291, -22.8248)
526: (x,y) = (7.4492, -24.1631)
527: (x,y) = (6.63572, -25.9902)
528: (x,y) = (7.05155, -24.0339)
529: (x,y) = (9.02116, -23.6866)
530: (x,y) = (8.46989, -25.6091)
531: (x,y) = (7.29432, -27.2272)
532: (x,y) = (9.26969, -27.54)
533: (x,y) = (11.2015, -28.0577)
534: (x,y) = (9.21645, -28.3014)
535: (x,y) = (10.3348, -26.6433)
536: (x,y) = (11.3649, -28.3577)
537: (x,y) = (12.2729, -30.1397)
538: (x,y) = (12.5512, -32.1202)
539: (x,y) = (12.4466, -34.1175)
540: (x,y) = (10.4469, -34.1524)
541: (x,y) = (8.48362, -33.7708)
542: (x,y) = (8.20527, -31.7902)
543: (x,y) = (6.9197, -30.2581)
544: (x,y) = (8.9197, -30.2581)
545: (x,y) = (8.43586, -28.3175)
546: (x,y) = (8.67959, -26.3324)
547: (x,y) = (7.1933, -27.6707)
548: (x,y) = (7.77805, -29.5833)
549: (x,y) = (9.11631, -31.0696)
550: (x,y) = (7.24915, -30.3529)
551: (x,y) = (9.06176, -29.5076)
552: (x,y) = (9.44338, -31.4709)
553: (x,y) = (7.67749, -32.4098)
554: (x,y) = (9.37358, -33.4697)
555: (x,y) = (11.228, -34.2189)
556: (x,y) = (13.119, -33.5677)
557: (x,y) = (14.2083, -35.2451)
558: (x,y) = (12.9227, -36.7772)
559: (x,y) = (14.9117, -36.9862)
560: (x,y) = (14.0983, -38.8133)
561: (x,y) = (12.5662, -37.5277)
562: (x,y) = (14.5613, -37.3882)
563: (x,y) = (15.7649, -35.791)
564: (x,y) = (13.8523, -35.2062)
565: (x,y) = (15.5667, -34.1761)
566: (x,y) = (15.4969, -36.1749)
567: (x,y) = (15.081, -38.1312)
568: (x,y) = (13.3667, -39.1613)
569: (x,y) = (12.1911, -40.7793)
570: (x,y) = (12.1562, -38.7796)
571: (x,y) = (14.1559, -38.8145)
572: (x,y) = (12.5176, -39.9617)
573: (x,y) = (10.5204, -39.857)
574: (x,y) = (10.1045, -37.9007)
575: (x,y) = (11.5672, -39.2647)
576: (x,y) = (10.6593, -37.4827)
577: (x,y) = (12.5503, -36.8316)
578: (x,y) = (14.2646, -35.8015)
579: (x,y) = (15.0781, -37.6286)
580: (x,y) = (14.4601, -39.5307)
581: (x,y) = (15.2415, -41.3717)
582: (x,y) = (17.0391, -42.2485)
583: (x,y) = (18.5712, -40.9629)
584: (x,y) = (17.3956, -42.5809)
585: (x,y) = (18.0797, -40.7015)
586: (x,y) = (16.0906, -40.9106)
587: (x,y) = (18.0225, -41.4282)
588: (x,y) = (16.4252, -42.6319)
589: (x,y) = (16.9429, -44.5637)
590: (x,y) = (15.5042, -45.953)
591: (x,y) = (14.2186, -47.4851)
592: (x,y) = (14.8366, -49.3872)
After 593 steps, the subject has the following location:
(x,y) = (14.8366, -49.3872)
 or
(m,a) = (51.5677, -73.279)
Average outward distance per step = 0.0869606
