Target Distance: 50, Step Size: 2
117: (x,y) = (32.0043, -15.1966)
118: (x,y) = (31.1276, -16.9942)
119: (x,y) = (30.746, -15.0309)
120: (x,y) = (29.746, -16.763)
121: (x,y) = (31.573, -17.5765)
122: (x,y) = (29.6412, -17.0588)
123: (x,y) = (31.1506, -15.7467)
124: (x,y) = (31.7019, -17.6692)
125: (x,y) = (30.4163, -16.1371)
126: (x,y) = (29.1042, -14.6277)
127: (x,y) = (30.7623, -15.7461)
128: (x,y) = (32.2944, -14.4605)
129: (x,y) = (32.7102, -12.5042)
130: (x,y) = (31.9934, -14.3714)
131: (x,y) = (30.0129, -14.0931)
132: (x,y) = (31.3769, -15.5558)
133: (x,y) = (30.7589, -17.4579)
134: (x,y) = (31.0026, -19.443)
135: (x,y) = (30.4513, -17.5204)
136: (x,y) = (32.0486, -18.7241)
137: (x,y) = (32.8301, -20.5651)
138: (x,y) = (31.0808, -19.5955)
139: (x,y) = (31.0808, -17.5955)
140: (x,y) = (29.2265, -16.8462)
141: (x,y) = (27.3593, -16.1295)
142: (x,y) = (25.362, -16.0248)
143: (x,y) = (24.1865, -14.4068)
144: (x,y) = (22.5091, -13.3175)
145: (x,y) = (24.5064, -13.4222)
146: (x,y) = (22.7572, -12.4526)
147: (x,y) = (22.0404, -10.5854)
148: (x,y) = (23.0705, -8.87109)
149: (x,y) = (23.3142, -6.88599)
150: (x,y) = (25.2548, -6.40215)
151: (x,y) = (27.1569, -5.78412)
152: (x,y) = (28.6432, -4.44586)
153: (x,y) = (26.6435, -4.41095)
154: (x,y) = (24.7641, -5.09499)
155: (x,y) = (26.0763, -6.60441)
156: (x,y) = (27.5626, -5.26615)
157: (x,y) = (25.5775, -5.50989)
158: (x,y) = (24.1881, -4.07121)
159: (x,y) = (22.193, -4.21072)
160: (x,y) = (21.509, -2.33134)
161: (x,y) = (19.9996, -3.64345)
162: (x,y) = (19.6867, -5.61883)
163: (x,y) = (21.6273, -6.10267)
164: (x,y) = (22.344, -4.23551)
165: (x,y) = (21.5305, -2.40842)
166: (x,y) = (22.7892, -3.96271)
167: (x,y) = (24.6686, -3.27867)
168: (x,y) = (24.9814, -5.25405)
169: (x,y) = (23.0904, -5.90519)
170: (x,y) = (21.2778, -6.75042)
171: (x,y) = (20.0191, -5.19613)
172: (x,y) = (18.1781, -5.97759)
173: (x,y) = (19.7102, -4.69202)
174: (x,y) = (21.5896, -5.37606)
175: (x,y) = (23.2279, -4.22891)
176: (x,y) = (24.8252, -5.43254)
177: (x,y) = (25.7332, -3.65052)
178: (x,y) = (27.0714, -5.13681)
179: (x,y) = (28.8985, -4.32334)
180: (x,y) = (27.1842, -3.29326)
181: (x,y) = (27.7689, -1.38065)
182: (x,y) = (28.1847, -3.33695)
183: (x,y) = (26.6753, -2.02483)
184: (x,y) = (27.0911, -0.0685361)
185: (x,y) = (28.3225, -1.64456)
186: (x,y) = (30.1896, -0.927822)
187: (x,y) = (31.9555, 0.0111214)
188: (x,y) = (33.6516, -1.04872)
189: (x,y) = (35.6367, -1.29246)
190: (x,y) = (34.4331, -2.88973)
191: (x,y) = (33.8818, -0.967203)
192: (x,y) = (35.0854, -2.56447)
193: (x,y) = (34.7038, -0.60122)
194: (x,y) = (36.6526, -1.05112)
195: (x,y) = (37.5915, 0.714773)
196: (x,y) = (35.5927, 0.644974)
197: (x,y) = (35.6276, -1.35472)
198: (x,y) = (33.687, -0.870878)
199: (x,y) = (34.5005, -2.69797)
200: (x,y) = (32.5251, -2.3851)
201: (x,y) = (33.1099, -4.29771)
202: (x,y) = (31.2305, -3.61367)
203: (x,y) = (31.091, -1.61854)
204: (x,y) = (32.3223, -3.19456)
205: (x,y) = (31.5731, -5.04893)
206: (x,y) = (31.5382, -3.04923)
207: (x,y) = (30.9534, -4.96184)
208: (x,y) = (30.8836, -2.96306)
209: (x,y) = (32.8469, -2.58144)
210: (x,y) = (34.159, -4.09086)
211: (x,y) = (32.7697, -5.52954)
212: (x,y) = (31.1517, -4.35397)
213: (x,y) = (31.2215, -2.35519)
214: (x,y) = (33.2066, -2.11145)
215: (x,y) = (33.2066, -0.111452)
216: (x,y) = (31.2578, 0.33845)
217: (x,y) = (33.1803, 0.889724)
218: (x,y) = (31.5623, -0.285846)
219: (x,y) = (32.5012, -2.05174)
220: (x,y) = (31.95, -3.97426)
221: (x,y) = (31.4323, -5.90612)
222: (x,y) = (29.946, -4.56786)
223: (x,y) = (30.1551, -2.57881)
224: (x,y) = (30.7731, -4.48092)
225: (x,y) = (29.0239, -3.51131)
226: (x,y) = (30.1995, -5.12934)
227: (x,y) = (31.8175, -6.30491)
228: (x,y) = (32.0958, -4.32437)
229: (x,y) = (30.3998, -5.38421)
230: (x,y) = (32.1141, -6.41429)
231: (x,y) = (30.223, -7.06542)
232: (x,y) = (32.1636, -7.54927)
233: (x,y) = (33.1937, -9.2636)
234: (x,y) = (32.1339, -7.56751)
235: (x,y) = (34.0657, -7.04987)
236: (x,y) = (35.7618, -8.10971)
237: (x,y) = (34.2297, -9.39528)
238: (x,y) = (32.767, -8.03129)
239: (x,y) = (30.8876, -8.71533)
240: (x,y) = (29.2904, -9.91896)
241: (x,y) = (27.9783, -11.4284)
242: (x,y) = (29.2096, -13.0044)
243: (x,y) = (28.5255, -11.125)
244: (x,y) = (26.6845, -11.9065)
245: (x,y) = (27.0318, -9.93686)
246: (x,y) = (28.0014, -8.18762)
247: (x,y) = (28.2452, -10.1727)
248: (x,y) = (26.2464, -10.2425)
249: (x,y) = (25.5953, -8.35147)
250: (x,y) = (25.2136, -10.3147)
251: (x,y) = (27.1942, -10.0364)
252: (x,y) = (25.3816, -10.8816)
253: (x,y) = (24.8303, -8.95909)
254: (x,y) = (22.874, -9.37492)
255: (x,y) = (22.3564, -7.44307)
256: (x,y) = (23.9324, -8.67439)
257: (x,y) = (23.9324, -6.67439)
258: (x,y) = (25.7867, -7.4236)
259: (x,y) = (24.0547, -8.4236)
260: (x,y) = (23.2732, -6.58259)
261: (x,y) = (24.7595, -7.92085)
262: (x,y) = (25.5087, -6.06649)
263: (x,y) = (26.3855, -4.2689)
264: (x,y) = (25.6687, -6.13606)
265: (x,y) = (23.6715, -6.03139)
266: (x,y) = (23.2216, -7.98013)
267: (x,y) = (24.3109, -9.65747)
268: (x,y) = (24.3807, -7.65869)
269: (x,y) = (22.3819, -7.72849)
270: (x,y) = (23.9792, -6.52486)
271: (x,y) = (25.745, -5.58591)
272: (x,y) = (23.756, -5.79497)
273: (x,y) = (24.3407, -3.88236)
274: (x,y) = (26.09, -4.85198)
275: (x,y) = (27.8559, -3.91304)
276: (x,y) = (26.4919, -2.45033)
277: (x,y) = (27.9782, -1.11207)
278: (x,y) = (28.2565, 0.868469)
279: (x,y) = (26.2568, 0.903374)
280: (x,y) = (27.404, 2.54168)
281: (x,y) = (26.2003, 0.944407)
282: (x,y) = (25.9913, 2.93345)
283: (x,y) = (25.8866, 0.936192)
284: (x,y) = (24.0456, 1.71765)
285: (x,y) = (25.8727, 0.904181)
286: (x,y) = (25.0592, 2.73127)
287: (x,y) = (24.3425, 4.59843)
288: (x,y) = (25.5461, 3.00116)
289: (x,y) = (26.5157, 1.25192)
290: (x,y) = (27.6341, -0.406153)
291: (x,y) = (28.4476, 1.42094)
292: (x,y) = (28.4127, 3.42063)
293: (x,y) = (26.4176, 3.56015)
294: (x,y) = (24.8203, 4.76378)
295: (x,y) = (23.7902, 3.04944)
296: (x,y) = (21.8881, 3.66748)
297: (x,y) = (23.6373, 4.63709)
298: (x,y) = (21.783, 3.88788)
299: (x,y) = (21.0989, 2.0085)
300: (x,y) = (20.9943, 4.00576)
301: (x,y) = (19.7629, 5.58178)
302: (x,y) = (17.7997, 5.20016)
303: (x,y) = (18.8298, 3.48582)
304: (x,y) = (17.6261, 1.88855)
305: (x,y) = (19.5172, 1.23742)
306: (x,y) = (17.9411, 2.46874)
307: (x,y) = (18.1502, 0.479696)
308: (x,y) = (17.7003, -1.46904)
309: (x,y) = (19.649, -1.01914)
310: (x,y) = (21.4149, -1.95808)
311: (x,y) = (23.404, -1.74903)
312: (x,y) = (22.1727, -3.32505)
313: (x,y) = (20.8605, -4.83447)
314: (x,y) = (18.9584, -5.4525)
315: (x,y) = (19.6752, -7.31966)
316: (x,y) = (17.68, -7.18015)
317: (x,y) = (19.3944, -6.15007)
318: (x,y) = (21.3932, -6.08028)
319: (x,y) = (20.5164, -7.87786)
320: (x,y) = (22.1344, -9.05343)
321: (x,y) = (24.1098, -8.74057)
322: (x,y) = (26.0323, -9.29184)
323: (x,y) = (27.5644, -8.00626)
324: (x,y) = (25.685, -7.32222)
325: (x,y) = (25.6501, -5.32253)
326: (x,y) = (26.3013, -7.21357)
327: (x,y) = (27.3013, -8.94562)
328: (x,y) = (29.2709, -9.29291)
329: (x,y) = (30.2098, -11.0588)
330: (x,y) = (28.6777, -12.3444)
331: (x,y) = (30.6729, -12.2049)
332: (x,y) = (31.0202, -14.1745)
333: (x,y) = (30.7418, -12.1939)
334: (x,y) = (30.258, -14.1345)
335: (x,y) = (28.8687, -12.6959)
336: (x,y) = (27.5831, -14.228)
337: (x,y) = (29.5463, -13.8463)
338: (x,y) = (29.1647, -15.8096)
339: (x,y) = (29.3738, -13.8205)
340: (x,y) = (31.3144, -14.3044)
341: (x,y) = (30.2251, -15.9817)
342: (x,y) = (28.8109, -14.5675)
343: (x,y) = (30.7019, -13.9164)
344: (x,y) = (28.9043, -14.7931)
345: (x,y) = (27.7288, -16.4112)
346: (x,y) = (29.6414, -16.9959)
347: (x,y) = (30.6714, -18.7102)
348: (x,y) = (31.4207, -16.8559)
349: (x,y) = (30.7366, -14.9765)
350: (x,y) = (31.7366, -16.7085)
351: (x,y) = (33.1259, -15.2699)
352: (x,y) = (34.1858, -16.9659)
353: (x,y) = (35.6721, -15.6277)
354: (x,y) = (35.3248, -13.6581)
355: (x,y) = (35.4643, -15.6532)
356: (x,y) = (35.9481, -13.7126)
357: (x,y) = (34.0938, -14.4618)
358: (x,y) = (32.2266, -15.1786)
359: (x,y) = (32.0871, -17.1737)
360: (x,y) = (32.537, -15.2249)
361: (x,y) = (30.5882, -14.775)
362: (x,y) = (28.6077, -15.0534)
363: (x,y) = (27.6077, -16.7854)
364: (x,y) = (25.6272, -16.5071)
365: (x,y) = (24.48, -18.1454)
366: (x,y) = (26.4288, -18.5953)
367: (x,y) = (25.0648, -20.058)
368: (x,y) = (24.3156, -21.9124)
369: (x,y) = (26.2381, -22.4636)
370: (x,y) = (24.2893, -22.9136)
371: (x,y) = (23.4759, -24.7406)
372: (x,y) = (23.163, -22.7653)
373: (x,y) = (21.9317, -21.1892)
374: (x,y) = (21.8968, -23.1889)
375: (x,y) = (20.2995, -21.9853)
376: (x,y) = (21.2384, -23.7512)
377: (x,y) = (21.9877, -25.6056)
378: (x,y) = (20.0651, -25.0543)
379: (x,y) = (18.1857, -24.3703)
380: (x,y) = (20.1845, -24.3005)
381: (x,y) = (22.0517, -25.0172)
382: (x,y) = (20.0626, -24.8081)
383: (x,y) = (21.5013, -26.1975)
384: (x,y) = (23.3685, -25.4807)
385: (x,y) = (21.3697, -25.5505)
386: (x,y) = (19.6924, -24.4612)
387: (x,y) = (18.7227, -26.2105)
388: (x,y) = (19.6924, -24.4612)
389: (x,y) = (19.3451, -22.4916)
390: (x,y) = (19.2056, -20.4965)
391: (x,y) = (20.1445, -22.2624)
392: (x,y) = (20.8937, -20.408)
393: (x,y) = (22.2577, -21.8707)
394: (x,y) = (23.7898, -20.5852)
395: (x,y) = (25.4078, -19.4096)
396: (x,y) = (23.9451, -20.7736)
397: (x,y) = (24.9147, -22.5228)
398: (x,y) = (24.33, -20.6102)
399: (x,y) = (25.9273, -21.8138)
400: (x,y) = (27.7944, -22.5306)
401: (x,y) = (28.97, -20.9125)
402: (x,y) = (26.9703, -20.9474)
403: (x,y) = (28.9266, -20.5316)
404: (x,y) = (30.9117, -20.2879)
405: (x,y) = (30.5644, -18.3183)
406: (x,y) = (29.6877, -16.5207)
407: (x,y) = (31.6864, -16.5905)
408: (x,y) = (33.6352, -17.0404)
409: (x,y) = (34.3844, -18.8948)
410: (x,y) = (34.9691, -20.8074)
411: (x,y) = (34.1877, -22.6484)
412: (x,y) = (34.9691, -20.8074)
413: (x,y) = (36.9097, -21.2912)
414: (x,y) = (34.9872, -21.8425)
415: (x,y) = (36.9505, -21.4609)
416: (x,y) = (38.5265, -22.6922)
417: (x,y) = (38.9081, -20.7289)
418: (x,y) = (39.9679, -22.425)
419: (x,y) = (37.9707, -22.5297)
420: (x,y) = (39.36, -23.9684)
421: (x,y) = (37.3795, -23.69)
422: (x,y) = (35.4389, -23.2062)
423: (x,y) = (37.4021, -22.8246)
424: (x,y) = (39.2431, -23.606)
425: (x,y) = (39.9599, -21.7389)
426: (x,y) = (41.9522, -21.9132)
427: (x,y) = (43.0706, -20.2551)
428: (x,y) = (44.0096, -18.4892)
429: (x,y) = (42.4775, -19.7748)
430: (x,y) = (40.5212, -19.359)
431: (x,y) = (38.7392, -18.451)
432: (x,y) = (36.8982, -19.2324)
433: (x,y) = (38.8872, -19.4415)
434: (x,y) = (39.8568, -21.1907)
435: (x,y) = (37.9774, -21.8748)
436: (x,y) = (36.3802, -23.0784)
437: (x,y) = (37.1937, -24.9055)
438: (x,y) = (38.8897, -25.9653)
439: (x,y) = (38.9247, -27.965)
440: (x,y) = (39.2719, -29.9347)
441: (x,y) = (41.261, -30.1437)
After 442 steps, the subject has the following location:
(x,y) = (41.261, -30.1437)
 or
(m,a) = (51.099, -36.1504)
Average outward distance per step = 0.115609
Target Distance: 50, Step Size: 2
0: (x,y) = (-0.651136, 1.89104)
1: (x,y) = (-1.03275, 3.85429)
2: (x,y) = (-1.58403, 5.77681)
3: (x,y) = (-1.8969, 3.80144)
4: (x,y) = (-3.80951, 3.21669)
5: (x,y) = (-5.70054, 3.86783)
6: (x,y) = (-5.80522, 5.86509)
7: (x,y) = (-5.02375, 7.7061)
8: (x,y) = (-4.24229, 5.86509)
9: (x,y) = (-2.98365, 4.3108)
10: (x,y) = (-4.58092, 3.10717)
11: (x,y) = (-2.58853, 3.28148)
12: (x,y) = (-3.95253, 1.81877)
13: (x,y) = (-3.63966, -0.156604)
14: (x,y) = (-4.45313, 1.67049)
15: (x,y) = (-4.48804, 3.67018)
16: (x,y) = (-3.09872, 5.10886)
17: (x,y) = (-2.41468, 6.98825)
18: (x,y) = (-0.682631, 7.98825)
19: (x,y) = (0.49294, 9.60628)
20: (x,y) = (-0.566899, 7.91018)
21: (x,y) = (-0.462227, 5.91293)
22: (x,y) = (0.319235, 4.07192)
23: (x,y) = (-0.827918, 2.43361)
24: (x,y) = (-2.60993, 3.34159)
25: (x,y) = (-3.48667, 1.544)
26: (x,y) = (-1.93238, 2.80265)
27: (x,y) = (-0.620263, 1.29323)
28: (x,y) = (1.07583, 2.35306)
29: (x,y) = (-0.478459, 3.61171)
30: (x,y) = (0.780182, 2.05741)
31: (x,y) = (2.0923, 0.547994)
32: (x,y) = (1.88324, 2.53704)
33: (x,y) = (3.54132, 1.41865)
34: (x,y) = (4.98, 0.0293357)
35: (x,y) = (6.57727, 1.23297)
36: (x,y) = (8.15329, 2.46429)
37: (x,y) = (6.17791, 2.15142)
38: (x,y) = (7.54191, 3.61413)
39: (x,y) = (7.05807, 5.55472)
40: (x,y) = (8.14734, 7.23206)
41: (x,y) = (6.50904, 6.08491)
42: (x,y) = (4.97695, 7.37048)
43: (x,y) = (3.31888, 6.2521)
44: (x,y) = (2.31888, 4.52005)
45: (x,y) = (0.320095, 4.58984)
46: (x,y) = (2.17446, 5.33906)
47: (x,y) = (4.13076, 5.75488)
48: (x,y) = (5.97177, 6.53634)
49: (x,y) = (6.18082, 4.5473)
50: (x,y) = (5.66319, 2.61545)
51: (x,y) = (4.04515, 1.43988)
52: (x,y) = (5.99389, 0.989975)
53: (x,y) = (7.98902, 1.12949)
54: (x,y) = (6.14801, 0.348026)
55: (x,y) = (7.65743, 1.66014)
56: (x,y) = (6.4538, 3.25742)
57: (x,y) = (8.43889, 3.01368)
58: (x,y) = (9.55728, 4.67175)
59: (x,y) = (11.5524, 4.53224)
60: (x,y) = (10.6757, 6.32983)
61: (x,y) = (8.79628, 5.64579)
62: (x,y) = (10.6089, 6.49102)
63: (x,y) = (12.5215, 7.07577)
64: (x,y) = (10.5291, 7.25008)
65: (x,y) = (9.52911, 8.98213)
66: (x,y) = (9.97902, 7.03339)
67: (x,y) = (8.86063, 8.69146)
68: (x,y) = (9.73737, 6.89388)
69: (x,y) = (9.25353, 8.83447)
70: (x,y) = (8.37679, 10.6321)
71: (x,y) = (10.34, 11.0137)
72: (x,y) = (8.36466, 11.3265)
73: (x,y) = (6.78864, 12.5579)
74: (x,y) = (5.02275, 13.4968)
75: (x,y) = (6.88991, 14.2135)
76: (x,y) = (5.15786, 13.2135)
77: (x,y) = (6.36149, 14.8108)
78: (x,y) = (7.95876, 16.0144)
79: (x,y) = (9.72465, 16.9534)
80: (x,y) = (11.4739, 15.9838)
81: (x,y) = (13.4226, 15.5339)
82: (x,y) = (12.5774, 17.3465)
83: (x,y) = (13.2285, 15.4554)
84: (x,y) = (11.2288, 15.4904)
85: (x,y) = (13.2139, 15.2466)
86: (x,y) = (11.5178, 16.3064)
87: (x,y) = (13.4932, 15.9936)
88: (x,y) = (11.5127, 16.2719)
89: (x,y) = (11.5127, 14.2719)
90: (x,y) = (11.0628, 16.2207)
91: (x,y) = (9.64856, 17.6349)
92: (x,y) = (11.158, 18.947)
93: (x,y) = (11.4017, 20.9321)
94: (x,y) = (12.956, 19.6735)
95: (x,y) = (14.956, 19.6735)
96: (x,y) = (14.3049, 17.7824)
97: (x,y) = (13.0735, 16.2064)
98: (x,y) = (11.8149, 17.7607)
99: (x,y) = (12.5964, 19.6017)
100: (x,y) = (13.5353, 21.3676)
101: (x,y) = (11.5365, 21.2978)
102: (x,y) = (13.3024, 22.2367)
103: (x,y) = (15.1696, 22.9535)
104: (x,y) = (17.049, 23.6375)
105: (x,y) = (15.5863, 25.0015)
106: (x,y) = (14.9351, 23.1105)
107: (x,y) = (13.0557, 23.7945)
108: (x,y) = (11.6171, 25.1838)
109: (x,y) = (9.67647, 24.7)
110: (x,y) = (8.36436, 26.2094)
111: (x,y) = (6.4325, 25.6918)
112: (x,y) = (5.34323, 24.0144)
113: (x,y) = (7.19759, 23.2652)
114: (x,y) = (6.28961, 25.0472)
115: (x,y) = (4.35776, 24.5296)
116: (x,y) = (2.73973, 25.7052)
117: (x,y) = (4.0253, 27.2372)
118: (x,y) = (3.0253, 28.9693)
119: (x,y) = (4.70264, 27.88)
120: (x,y) = (6.32068, 29.0556)
121: (x,y) = (8.16169, 29.837)
122: (x,y) = (6.30732, 29.0878)
123: (x,y) = (5.9257, 31.0511)
124: (x,y) = (5.11223, 29.224)
125: (x,y) = (3.51496, 28.0204)
126: (x,y) = (5.51222, 27.9157)
127: (x,y) = (5.61689, 29.913)
128: (x,y) = (4.38557, 31.489)
129: (x,y) = (3.38557, 29.7569)
130: (x,y) = (5.38557, 29.7569)
131: (x,y) = (6.67114, 28.2248)
132: (x,y) = (8.26841, 29.4285)
133: (x,y) = (7.39167, 27.6309)
134: (x,y) = (5.39654, 27.7704)
135: (x,y) = (4.98072, 25.8141)
136: (x,y) = (3.32264, 24.6957)
137: (x,y) = (5.24517, 25.247)
138: (x,y) = (5.62678, 23.2837)
139: (x,y) = (3.70426, 22.7325)
140: (x,y) = (5.25855, 21.4738)
141: (x,y) = (6.85582, 20.2702)
142: (x,y) = (7.91566, 18.5741)
143: (x,y) = (9.06281, 20.2124)
144: (x,y) = (7.06556, 20.3171)
145: (x,y) = (8.52826, 18.9531)
146: (x,y) = (9.96694, 20.3424)
147: (x,y) = (9.55112, 22.2987)
148: (x,y) = (7.55599, 22.4382)
149: (x,y) = (9.54504, 22.2291)
150: (x,y) = (11.0771, 23.5147)
151: (x,y) = (12.4154, 22.0284)
152: (x,y) = (14.356, 22.5123)
153: (x,y) = (12.5016, 23.2615)
154: (x,y) = (12.9855, 21.3209)
155: (x,y) = (11.4094, 20.0896)
156: (x,y) = (10.628, 18.2486)
157: (x,y) = (10.5931, 20.2483)
158: (x,y) = (11.0089, 22.2045)
159: (x,y) = (12.541, 20.919)
160: (x,y) = (13.449, 22.701)
161: (x,y) = (14.6526, 24.2983)
162: (x,y) = (13.0346, 25.4738)
163: (x,y) = (14.6106, 24.2425)
164: (x,y) = (15.9488, 22.7562)
165: (x,y) = (17.5461, 23.9598)
166: (x,y) = (18.3276, 22.1188)
167: (x,y) = (17.5461, 23.9598)
168: (x,y) = (15.5765, 24.3071)
169: (x,y) = (17.0392, 25.6711)
170: (x,y) = (16.2257, 27.4982)
171: (x,y) = (14.277, 27.0483)
172: (x,y) = (15.277, 25.3163)
173: (x,y) = (13.5809, 26.3761)
174: (x,y) = (13.6158, 24.3764)
175: (x,y) = (11.6161, 24.3415)
176: (x,y) = (11.651, 26.3412)
177: (x,y) = (13.5182, 27.0579)
178: (x,y) = (13.2398, 25.0774)
179: (x,y) = (11.2835, 24.6616)
180: (x,y) = (11.5619, 26.6421)
181: (x,y) = (12.709, 25.0038)
182: (x,y) = (10.7139, 25.1433)
183: (x,y) = (12.699, 25.3871)
184: (x,y) = (12.8385, 23.3919)
185: (x,y) = (12.6642, 21.3996)
186: (x,y) = (11.1548, 22.7117)
187: (x,y) = (10.57, 24.6243)
188: (x,y) = (9.66204, 26.4063)
189: (x,y) = (8.60221, 24.7102)
190: (x,y) = (8.91507, 26.6856)
191: (x,y) = (7.04791, 27.4023)
192: (x,y) = (7.59919, 25.4798)
193: (x,y) = (7.56428, 23.4801)
194: (x,y) = (5.92598, 24.6272)
195: (x,y) = (5.75167, 26.6196)
196: (x,y) = (7.01031, 25.0653)
197: (x,y) = (6.52647, 23.1247)
198: (x,y) = (5.97519, 25.0473)
199: (x,y) = (5.06721, 23.2653)
200: (x,y) = (4.19047, 25.0628)
201: (x,y) = (3.57243, 26.965)
202: (x,y) = (4.98665, 25.5507)
203: (x,y) = (4.98665, 23.5507)
204: (x,y) = (2.9976, 23.3417)
205: (x,y) = (4.94634, 22.8918)
206: (x,y) = (6.89508, 23.3417)
207: (x,y) = (4.89539, 23.3068)
208: (x,y) = (2.91485, 23.0284)
209: (x,y) = (2.84505, 21.0297)
210: (x,y) = (1.113, 20.0297)
211: (x,y) = (-0.325678, 18.6403)
212: (x,y) = (-1.87997, 19.899)
213: (x,y) = (-2.05428, 21.8914)
214: (x,y) = (-3.5637, 23.2035)
215: (x,y) = (-3.4939, 21.2047)
216: (x,y) = (-2.68043, 23.0318)
217: (x,y) = (-4.64368, 22.6502)
218: (x,y) = (-3.7357, 24.4322)
219: (x,y) = (-3.7357, 22.4322)
220: (x,y) = (-1.74666, 22.6412)
